Subject 1032, Mean Classifier Accuracy, Mean REM Sensitivity, Mean REM Specificity, Mean NREM Sensitivity, Mean NREM Specificity
SVC,0.934802039,0.762238742,0.991576784,0.959080988,0.919658404
DecisionTreeClassifier,0.922309677,0.664326115,0.986003735,0.937761947,0.938103702
GaussianNB,0.933666295,0.784370287,0.980371851,0.942487936,0.947229003
KNeighborsClassifier,0.931623524,0.727359405,0.991090289,0.950107113,0.926895793
MLPClassifier,0.934348733,0.738776665,0.991578194,0.95216494,0.926608253
,,,,,
Subject 1039, Mean Classifier Accuracy, Mean REM Sensitivity, Mean REM Specificity, Mean NREM Sensitivity, Mean NREM Specificity
SVC,0.942291312,0.823505141,0.993579731,0.964974265,0.940089023
DecisionTreeClassifier,0.931643952,0.831392045,0.987599887,0.952015342,0.93667094
GaussianNB,0.922913118,0.926959325,0.965975193,0.961712363,0.94130776
KNeighborsClassifier,0.939522998,0.786215954,0.992463824,0.959556531,0.943793845
MLPClassifier,0.942717206,0.808786526,0.991999885,0.962474695,0.945899695
,,,,,
Subject 1040, Mean Classifier Accuracy, Mean REM Sensitivity, Mean REM Specificity, Mean NREM Sensitivity, Mean NREM Specificity
SVC,0.872444634,0.748713177,0.990642466,0.925330868,0.849485918
DecisionTreeClassifier,0.856473595,0.692822168,0.989533814,0.893119884,0.853741518
GaussianNB,0.836882453,0.822335947,0.956548499,0.936753526,0.820295391
KNeighborsClassifier,0.85455707,0.739088401,0.98883844,0.891516458,0.853211713
MLPClassifier,0.869037479,0.758743797,0.988584568,0.912555311,0.8579265
,,,,,
Subject 1134, Mean Classifier Accuracy, Mean REM Sensitivity, Mean REM Specificity, Mean NREM Sensitivity, Mean NREM Specificity
SVC,0.945272572,0.673251839,0.997548927,0.954734142,0.958287682
DecisionTreeClassifier,0.933773424,0.648336981,0.996185401,0.885800311,0.98057559
GaussianNB,0.79620954,0.9350552,0.816130321,0.956806641,0.965081524
KNeighborsClassifier,0.947827939,0.662082338,0.997541023,0.942121349,0.971382684
MLPClassifier,0.952938671,0.717810306,0.996655082,0.948678083,0.973210675
,,,,,
Subject 1139, Mean Classifier Accuracy, Mean REM Sensitivity, Mean REM Specificity, Mean NREM Sensitivity, Mean NREM Specificity
SVC,0.930995475,0.810782967,0.994682865,0.945239548,0.934035856
DecisionTreeClassifier,0.913800905,0.768102433,0.991336958,0.953978842,0.894113457
GaussianNB,0.884162896,0.879954867,0.935107244,0.946507958,0.934429043
KNeighborsClassifier,0.922624434,0.804895997,0.99495683,0.937160698,0.925509093
MLPClassifier,0.929638009,0.817602041,0.994459088,0.945857822,0.930424205
,,,,,
Subject 1140, Mean Classifier Accuracy, Mean REM Sensitivity, Mean REM Specificity, Mean NREM Sensitivity, Mean NREM Specificity
SVC,0.907239819,0.739117503,0.99336146,0.935558321,0.913108534
DecisionTreeClassifier,0.895701357,0.793324234,0.986403744,0.932425826,0.903603083
GaussianNB,0.90520362,0.718262101,0.992872394,0.944315844,0.905618984
KNeighborsClassifier,0.897737557,0.685931389,0.993127867,0.920070462,0.909889608
MLPClassifier,0.90678733,0.742333157,0.992408092,0.934998178,0.912438498
,,,,,
Classifier, Time,,,,
SVC,0.280677795,,,,
DecisionTreeClassifier,0.039303064,,,,
GaussianNB,0.003986835,,,,
KNeighborsClassifier,0.009688854,,,,
MLPClassifier,2.360093594,,,,
